Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
Pompeii,"Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje",114112,"Action, Adventure, Drama","23,219,748",4184,PG-13,Action, Adventure, Drama,Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje
Volcano,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle",79545,"Action, Drama, Sci-Fi","49,323,468",4241,PG-13,Action, Drama, Sci-Fi,Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle
Mortdecai,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn",75262,"Action, Adventure, Comedy","7,605,668",4331,R,Action, Adventure, Comedy,Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn
Lara Croft: Tomb Raider - The Cradle of Life,"Angelina Jolie, Gerard Butler, Chris Barrie, Ciarán Hinds",142198,"Action, Adventure, Fantasy","65,660,196",4436,PG-13,Action, Adventure, Fantasy,Angelina Jolie, Gerard Butler, Chris Barrie, Ciarán Hinds
Your Highness,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",103204,"Action, Adventure, Comedy","21,596,445",4454,R,Action, Adventure, Comedy,Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker
The Bounty Hunter,"Jennifer Aniston, Gerard Butler, Gio Perez, Joel Marsh Garland",131648,"Action, Comedy, Romance","67,061,228",4505,PG-13,Action, Comedy, Romance,Jennifer Aniston, Gerard Butler, Gio Perez, Joel Marsh Garland
Sweet Girl,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Adria Arjona",33947,"Action, Drama, Thriller",,4780,R,Action, Drama, Thriller,Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Adria Arjona
Beverly Hills Cop III,"Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier",84653,"Action, Comedy, Crime","42,610,000",4934,R,Action, Comedy, Crime,Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier
Eight Legged Freaks,"David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson",59060,"Action, Adventure, Comedy","17,322,606",-,PG-13,Action, Adventure, Comedy,David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson
Star Trek V: The Final Frontier,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",62559,"Action, Adventure, Fantasy","52,210,049",-,PG,Action, Adventure, Fantasy,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
